"nome","regiao","freq","rank","sexo"
"JOSE",0,5732508,1,"M"
"JOAO",0,2971935,2,"M"
"ANTONIO",0,2567494,3,"M"
"FRANCISCO",0,1765197,4,"M"
"CARLOS",0,1483121,5,"M"
"PAULO",0,1417907,6,"M"
"PEDRO",0,1213557,7,"M"
"LUCAS",0,1116818,8,"M"
"LUIZ",0,1102927,9,"M"
"MARCOS",0,1101126,10,"M"
"LUIS",0,931530,11,"M"
"GABRIEL",0,922744,12,"M"
"RAFAEL",0,814709,13,"M"
"DANIEL",0,706527,14,"M"
"MARCELO",0,690098,15,"M"
"BRUNO",0,663271,16,"M"
"EDUARDO",0,628539,17,"M"
"FELIPE",0,615924,18,"M"
"RAIMUNDO",0,611174,19,"M"
"RODRIGO",0,598825,20,"M"
"MANOEL",0,590924,21,"M"
"MATEUS",0,583962,22,"M"
"ANDRE",0,578975,23,"M"
"FERNANDO",0,551776,24,"M"
"FABIO",0,545581,25,"M"
"LEONARDO",0,544258,26,"M"
"GUSTAVO",0,537598,27,"M"
"GUILHERME",0,525028,28,"M"
"LEANDRO",0,506483,29,"M"
"TIAGO",0,492149,30,"M"
"ANDERSON",0,470777,31,"M"
"RICARDO",0,467835,32,"M"
"MARCIO",0,466140,33,"M"
"JORGE",0,464573,34,"M"
"SEBASTIAO",0,461332,35,"M"
"ALEXANDRE",0,441663,36,"M"
"ROBERTO",0,435832,37,"M"
"EDSON",0,430171,38,"M"
"DIEGO",0,421973,39,"M"
"VITOR",0,419585,40,"M"
"SERGIO",0,403806,41,"M"
"CLAUDIO",0,350428,42,"M"
"MATHEUS",0,347734,43,"M"
"THIAGO",0,341645,44,"M"
"GERALDO",0,339380,45,"M"
"ADRIANO",0,335585,46,"M"
"LUCIANO",0,335214,47,"M"
"JULIO",0,334254,48,"M"
"RENATO",0,327610,49,"M"
"ALEX",0,309181,50,"M"
"VINICIUS",0,302419,51,"M"
"ROGERIO",0,292635,52,"M"
"SAMUEL",0,291057,53,"M"
"RONALDO",0,269489,54,"M"
"MARIO",0,268171,55,"M"
"FLAVIO",0,265201,56,"M"
"DOUGLAS",0,264889,57,"M"
"IGOR",0,264732,58,"M"
"DAVI",0,254088,59,"M"
"MANUEL",0,253031,60,"M"
"JEFERSON",0,252171,61,"M"
"CICERO",0,247711,62,"M"
"VICTOR",0,240278,63,"M"
"MIGUEL",0,239636,64,"M"
"ROBSON",0,235386,65,"M"
"MAURICIO",0,234847,66,"M"
"DANILO",0,231855,67,"M"
"HENRIQUE",0,227297,68,"M"
"CAIO",0,225902,69,"M"
"REGINALDO",0,225049,70,"M"
"JOAQUIM",0,213941,71,"M"
"BENEDITO",0,213323,72,"M"
"GILBERTO",0,212736,73,"M"
"MARCO",0,207244,74,"M"
"ALAN",0,205614,75,"M"
"NELSON",0,200125,76,"M"
"CRISTIANO",0,194300,77,"M"
"ELIAS",0,189315,78,"M"
"WILSON",0,188329,79,"M"
"VALDIR",0,187067,80,"M"
"EMERSON",0,177092,81,"M"
"LUAN",0,174805,82,"M"
"DAVID",0,173807,83,"M"
"RENAN",0,170182,84,"M"
"SEVERINO",0,170111,85,"M"
"FABRICIO",0,166678,86,"M"
"MAURO",0,166334,87,"M"
"JONAS",0,163947,88,"M"
"GILMAR",0,159693,89,"M"
"JEAN",0,158198,90,"M"
"FABIANO",0,157812,91,"M"
"WESLEY",0,156101,92,"M"
"DIOGO",0,155247,93,"M"
"ADILSON",0,155002,94,"M"
"JAIR",0,151241,95,"M"
"ALESSANDRO",0,148702,96,"M"
"EVERTON",0,147274,97,"M"
"OSVALDO",0,146986,98,"M"
"GILSON",0,144341,99,"M"
"WILLIAN",0,144078,100,"M"
... (rest of the file content)
